id;Area_id;Type_id;created_at
1;1;1;now()
2;2;6;now()
3;2;7;now()
4;3;6;now()
5;3;7;now()
6;4;6;now()
7;4;7;now()
8;5;6;now()
9;5;7;now()
10;6;6;now()
11;6;7;now()
12;7;7;now()
13;7;6;now()
14;8;7;now()
15;8;6;now()
16;9;7;now()
17;9;6;now()
18;2;11;now()
19;3;11;now()
20;4;11;now()
21;5;11;now()
22;6;11;now()
23;10;11;now()
24;11;11;now()
25;8;11;now()
26;9;11;now()
27;12;9;now()
28;13;5;now()
29;14;5;now()
30;15;4;now()
31;2;4;now()
32;8;4;now()
33;9;4;now()
34;16;4;now()
35;17;4;now()
36;4;4;now()
37;5;4;now()
38;18;3;now()
39;19;3;now()
40;3;3;now()
41;15;3;now()
42;9;3;now()
43;7;3;now()
44;11;3;now()
45;8;10;now()
46;2;2;now()
47;15;2;now()
48;10;2;now()
49;11;2;now()
50;17;2;now()
51;20;8;now()
52;3;8;now()
53;2;8;now()
54;4;8;now()
55;5;8;now()
56;6;8;now()
57;10;8;now()
58;8;8;now()
59;9;8;now()
