id;text;Section_id;Area_id;Types_id;created_at
1;الديوان العام;1;1;1;now()
2;الرئيسية;2;2;6;now()
3;محطة (2) ال ايوب;2;2;7;now()
4;محطة (20);2;2;7;now()
5;الزهور;2;2;7;now()
6;محطة 17;2;2;7;now()
7;محطة 18;2;2;7;now()
8;محطة25;2;2;7;now()
9;4-الريسة ( المينا);2;2;7;now()
10;2السمران جنوب اسيوط;2;2;7;now()
11;جنوب اسيوط 4;2;2;7;now()
12;جنوب اسيوط 5 الصفا;2;2;7;now()
13;محطة 6;2;2;7;now()
14;محطة 7;2;2;7;now()
15;محطة8;2;2;7;now()
16;محطة11;2;2;7;now()
17;محطة 14;2;2;7;now()
18;محطة19;2;2;7;now()
19;محطة 21;2;2;7;now()
20;محطة22;2;2;7;now()
21;محطة23;2;2;7;now()
22;محطةالعبور;2;2;7;now()
23;مخر السيل;2;2;7;now()
24;الواحة ابو صقل 3;2;2;7;now()
25;محطة26;2;2;7;now()
26;محطة رقم (4);2;2;7;now()
27;جنوب اسيوط 1 الشمس;2;2;7;now()
28;محطة رقم (5) ;2;2;7;now()
29;3 الريسة;2;2;7;now()
30;1الريسة;2;2;7;now()
31;1 كنتاكى;2;2;7;now()
32;16 السمران;2;2;7;now()
33;المحطة الرئيسية 14 الدائرى;2;2;7;now()
34;(3) الجمعيات ك17;2;2;7;now()
35;(1) البدور غرب الابروى;2;2;7;now()
36;المساعيد القديمة;2;2;7;now()
37;فرعية المساعيد;2;2;7;now()
38;الشاليهات;2;2;7;now()
39;(2) ش العشرين غرب الابروى;2;2;7;now()
40;(3) جنوب اسيوط;2;2;7;now()
41;محطة الاذاعة;2;2;7;now()
42;محطة الاسعاف;2;2;7;now()
43;ابنى بيتك الزهور;2;2;7;now()
44;ابنى بيتك العربى الجولف;2;2;7;now()
45;محطة السبيل;2;2;7;now()
46;محطة سوق الجملة;2;2;7;now()
47;محطة رفع الرئيسية ;2;3;6;now()
48;محطة رفع فرعية;2;3;7;now()
49;محطة الرفع الرئيسية;3;4;6;now()
50;المحطة الفرعية رقم 1;3;4;7;now()
51;المحطة الفرعية رقم 2 ( أبو صويرة);3;4;7;now()
52;المحطة الفرعية رقم 3 ( الوادي );3;4;7;now()
53;المحطة الفرعية رقم 4 ( السادات );3;4;7;now()
54;محطة الرفع الرئيسية;3;5;6;now()
55;المحطة الفرعية رقم 1;3;5;7;now()
56;المحطة الفرعية رقم 2;3;5;7;now()
57;المحطة الفرعية رقم 4;3;6;6;now()
58;أبورديس 4 المدينة;3;6;7;now()
59;أبورديس 6 حي السلام;3;6;7;now()
60;محطة رفع رقم 8;3;7;7;now()
61;محطة رفع العصلة الجديدة (الرئيسية);3;7;6;now()
62;المحطة المصرى شاليهات التعمير;3;7;7;now()
63;محطة المسبط الجديدة;3;7;7;now()
64;محطة المشربة ;3;7;7;now()
65;محطة العصلة القديمة;3;7;7;now()
66;محطة اللاجونا;3;7;7;now()
67;محطة رفع شمال العصلة;3;7;7;now()
68;محطة رفع المسبط القديمه مجرى السيل;3;7;7;now()
69;محطة رفع التوسعات;3;7;7;now()
70;محطة رفع الامن المركزى;3;7;7;now()
71;محطة المدينة;3;7;7;now()
72;محطة الترابين;3;7;7;now()
73;محطة الشمالية;3;7;6;now()
74;محطة المزرعة;3;7;7;now()
75;محطة واسط;3;7;7;now()
76;محطة رقم 3;3;8;7;now()
77;محطة رقم 4;3;8;7;now()
78;المحطة 14 الرئيسية الجديدة;3;8;6;now()
79;محطة رفع(1-ب);3;8;7;now()
80;محطة رفع 2(التأمين الصحى);3;8;7;now()
81;محطة الرفع رقم 5(الجبيل);3;8;7;now()
82;محطة رقم 6 الجديدة;3;8;6;now()
83;محطة رقم 8 (كهرباء الريف);3;8;7;now()
84;محطة الرفع رقم 9(التجارية);3;8;7;now()
85;محطة الرفع رقم 10(الاذاعة);3;8;7;now()
86;محطة رقم 12;3;8;7;now()
87;محطة 11 الوادي;3;8;7;now()
88;محطة رفع خليج نعمة ;3;9;7;now()
