id;text;father;created_at
1;الأحكام العامة;0;now()
2;في علاقة العمل وانتهائها;0;now()
3;الوظائف والتعيين;2;now()
4;قياس كفاءة الأداء;2;now()
5;الترقية;2;now()
6;النقل والندب والإعارة;2;now()
7;الأجور والعلاوات;2;now()
8;البدلات;2;now()
9;المزايا والتعويضات;2;now()
10;الحوافز والمكافأت ورعاية العاملين;2;now()
11;البعثات والدراسات;2;now()
12;مواعيد العمل والأجازات;2;now()
13;في واجبات العاملين والأعمال المحظورة والتحقيق والتأديب;2;now()
14;انتهاء الخدمة;2;now()
15;أحكام ختامية;0;now()
16;أحكام انتقالية;0;now()
17;لجنة شئون العاملين;1;now()
18;الوظائف;3;now()
19;التعيين;3;now()
20;طرق شغل الوظائف والسلطة المختصة بالتعيين;19;now()
21;شروط التعيين;19;now()
22;أولويات التعيين;19;now()
23; تحديد الاقدميات;19;now()
24;فترة الاختبار;19;now()
25;إعادة التعيين;19;now()
27;الاجـــــور;7;now()
28;العلاوات الدورية;7;now()
29;بدل السفر ومصروفات الانتقال;8;now()
30;بدل السفر;29;now()
31;مصاريف الانتقال;29;now()
32;البدلات والمزايا المادية;8;now()
33;الحــوافــــــز والمكافآت;10;now()
34;رعاية العامليــن;10;now()
35;الخدمات الاجتماعية والثقافيةوالصحية;34;now()
36;واجبات العاملين والأعمال المحظورة عليهم ;13;now()
37;واجبات العاملين;36;now()
38;الأعمال المحظورة;36;now()
39;التحقيق والتأديب ;13;now()
40;المسئولية التأديبية;39;now()
41;التحقيق مع العاملين;39;now()
42;الجزاءات التأديبية;39;now()
43;لائحة المخالفات والجزاءات;39;now()
44;الإجراءات التي تتخذ عند الإحالة للمعاش والفصل من الخدمة;39;now()
45;حفظ التحقيق والوقف عن العمل احتياطياً;39;now()
46;الحبس احتياطياً أو تنفيذاً لحكم جنائي;39;now()
47;محاكمة من انتهت خدمته ;39;now()
48;مواعيد سقوط الدعوى التأديبية;39;now()
49;الاختصاص في توقيع الجزاءات التأديبية;39;now()
50;محو الجزاءات;39;now()
51;حصيلة الجزاءات;39;now()
52;جدول الأجور;0;now()
